COLLEGE,"CONTROL NUMBER",TITLE,"TOP CODE","CIP CODE",GOAL,AWARD,"SUB AWARD","APPROVED DATE","CERT UNITS","MAJOR UNITS",STATUS
LANEY,36576,"Android Programming","0707.10* Computer Programming","11.0201 Computer Programming/Programmer, General.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-04-12,19.00-19.00/19.00-19.00,,Inactive
"PASADENA CITY",36194,"COMPUTER SKILLS 2 ","0514.00* Office Technology/Office Computer Applications",,"C - CTE","Noncredit program",,2018-01-22,,,Active
"MONTEREY PENINSULA",35988,"Computer Networking and Security","0708.10* Computer Networking","11.1001 Network and System Administration/Administrator.","C - CTE","A.S. Degree",,,,28.00-28.00/31.00-31.00,Active
"DIABLO VALLEY",36293,"Film, Television, and Electronic Media","0604.20* Television (including combined TV/Film/Video)","09.0701 Radio and Television.","T - Transfer","A.S. T Degree","ADT Degree",,,18.00-18.00/18.00-18.00,Active
"SAN BERNARDINO",36196,"Professional Baking and Management","1306.30* Culinary Arts","12.0501 Baking and Pastry Arts/Baker/Pastry Chef.","C - CTE","A.A. Degree",,2018-01-23,,51.00-51.00/51.00-51.00,Active
"SAN BERNARDINO",36197,"Baking Business","1306.30* Culinary Arts","12.0501 Baking and Pastry Arts/Baker/Pastry Chef.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,2018-01-23,36.00-36.00/36.00-36.00,,Active
COASTLINE,36051,"Logistics/Supply Chain Management","0510.00* Logistics and Materials Transportation","52.0101 Business/Commerce, General.","C - CTE","A.S. Degree",,2017-12-15,,21.00-21.00/21.00-21.00,Inactive
"SANTA ROSA",36379,"AE: Intro to Bldg & Constr","0952.00* Construction Crafts Technology","46.0415 Building Construction Technology/Technician.","C - CTE","Noncredit program",,,,,Active
"COPPER MOUNTAIN",36526,"Computer Network Supervisor","0708.10* Computer Networking",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-03-30,24.00-24.00/24.00-24.00,24.00-24.00/24.00-24.00,Active
GLENDALE,36136,"Health Information Technology","1223.00* Health Information Technology",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-01-11,42.00-42.00/42.00-42.00,0.00-0.00/0.00-0.00,Inactive
BAKERSFIELD,36024,"Occupational Safety and Risk Management, Agriculture","0956.70* Industrial and Occupational Safety and Health","15.0703 Industrial Safety Technology/Technician.","C - CTE","A.S. Degree",,,,47.00-47.00/48.00-48.00,Active
"CONTRA COSTA",36158,Philosophy,"1509.00 Philosophy","38.0101 Philosophy.","O - Local","Certificate of Achievement requiring 8S/12Q to fewer than 16S/24Q units",,2018-01-17,12.00-12.00/12.00-12.00,,Active
"CONTRA COSTA",36316,Chemistry,"1905.00 Chemistry, General",,"O - Local","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-02-26,29.00-29.00/29.00-29.00,29.00-29.00/29.00-29.00,Active
COASTLINE,36288,"English as a Second Language Preparation for Careers","4930.87 English as a Second Language - Integrated","23.0101 English Language and Literature, General.","O - Local","Noncredit program",,2018-02-13,0.00-0.00/0.00-0.00,0.00-0.00/0.00-0.00,Active
CERRITOS,36003,"Apprenticeship: Field Ironworkers Structural","0956.50* Welding Technology","48.0508 Welding Technology/Welder.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,38.00-38.00/38.00-38.00,,Active
GLENDALE,36135,"Health Information Technology","1223.00* Health Information Technology",,"C - CTE","A.S. Degree",,2018-01-11,,42.00-42.00/42.00-42.00,Inactive
YUBA,36780,"Radiologic Technology","1225.00* Radiologic Technology","51.0911 Radiologic Technology/Science - Radiographer.","C - CTE","A.S. Degree",,,0.00-0.00/0.00-0.00,71.00-71.00/71.00-71.00,Approved
YUBA,36014,"Arts Specialization","1305.00* Child Development/Early Care and Education",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2017-11-30,30.00-30.00/30.00-30.00,0.00-0.00/0.00-0.00,Active
CERRITOS,36002,"Apprenticeship: Field Ironworkers Reinforcing","0956.50* Welding Technology","48.0508 Welding Technology/Welder.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,34.00-34.00/34.00-34.00,,Active
YUBA,36015,"Children with Special Needs Specialization","1305.20* Children with Special Needs",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2017-11-30,30.00-30.00/30.00-30.00,0.00-0.00/0.00-0.00,Active
CERRITOS,36189,"College Readiness","4930.14 Study Skills","32.0199 Basic Skills and Developmental/Remedial Education, Other.","O - Local","Noncredit program",,2018-01-22,,,Active
CERRITOS,36001,"Apprenticeship: Electrical","0952.20* Electrical",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2017-11-17,25.50-25.50/25.50-25.50,0.00-0.00/0.00-0.00,Inactive
"SANTA ROSA",36633,"Hospitality Management","1307.00* Hospitality","52.0901 Hospitality Administration/Management, General.","T - Transfer","A.S. T Degree","ADT Degree",,,18.00-18.00/20.00-20.00,Active
GLENDALE,36480,"Medical Front Office","1208.20* Administrative Medical Assisting","51.0710 Medical Office Assistant/Specialist.","C - CTE","A.S. Degree",,,0.00-0.00/0.00-0.00,24.00-24.00/25.00-25.00,"Active - Teachout Only"
"SANTIAGO CANYON",36208,"General Medical Office Clerk","4930.12 Job Seeking/Changing Skills","32.0105 Job-Seeking/Changing Skills.","O - Local","Noncredit program",,,,,Active
"EL CAMINO",36167,"Database Management","0707.00* Computer Software Development",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-01-18,23.00-23.00/23.00-23.00,0.00-0.00/0.00-0.00,Active
"SANTA BARBARA CITY",36140,"Film and Media Studies","0612.10 Film History and Criticism","50.0601 Film/Cinema/Media Studies.","O - Local","A.A. Degree",,,0.00-0.00/0.00-0.00,32.00-32.00/34.00-34.00,Active
FOOTHILL,36287,"Bridge to College ESL Pathway","4930.86 English as a Second Language - Listening and Speaking","32.0109 Second Language Learning.","O - Local","Noncredit program",,,,,Approved
MODESTO,36013,"Basic Heavy Equipment Technician","0116.00* Agricultural Power Equipment Technology","01.0205 Agricultural Mechanics and Equipment/Machine Technology/Technician.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2017-11-30,18.00-18.00/18.00-18.00,0.00-0.00/0.00-0.00,Active
PALOMAR,36200,History,"2205.00 History","54.0101 History, General.","T - Transfer","A.A- T Degree","ADT Degree",,,18.00-18.00/18.00-18.00,Active
CHAFFEY,36474,"Facilities Management","0510.00* Logistics and Materials Transportation","52.0203 Logistics, Materials, and Supply Chain Management.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,30.00-30.00/31.00-31.00,,Active
SEQUOIAS,36073,"American Sign Language","0850.00 Sign Language","16.1601 American Sign Language (ASL).","O - Local","A.A. Degree",,,,24.00-24.00/26.00-26.00,Active
"SAN DIEGO MESA",36048,Dance,"1008.00 Dance","50.0301 Dance, General.","O - Local","A.A. Degree",,,,26.00-26.00/26.00-26.00,Active
DESERT,36029,"Computer Science","0706.00 Computer Science (Transfer)","11.0701 Computer Science.","T - Transfer","A.S. T Degree","ADT Degree",,,30.00-30.00/30.00-30.00,Active
MENDOCINO,36246,"Business Information Worker I","0514.00* Office Technology/Office Computer Applications","52.0401 Administrative Assistant and Secretarial Science, General.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-30,18.00-18.00/20.00-20.00,,Active
SEQUOIAS,36152,"Political Science","2207.00 Political Science","45.1001 Political Science and Government, General.","T - Transfer","A.A- T Degree","ADT Degree",,,19.00-19.00/19.00-19.00,Active
"SAN FRANCISCO CTRS",36476,"Culinary Arts Basic Training","1306.30* Culinary Arts",,"O - Local","Noncredit program",,2018-03-06,0.00-0.00/0.00-0.00,0.00-0.00/0.00-0.00,Inactive
SADDLEBACK,36222,"General Business","0501.00* Business and Commerce, General","52.0101 Business/Commerce, General.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,,16.00-16.00/18.00-18.00,,Active
GAVILAN,36978,"ESL Intermediate II Level","4930.87 English as a Second Language - Integrated","32.0108 Developmental/Remedial English.","O - Local","Noncredit program",,2018-08-08,,,Active
GAVILAN,36289,"ESL Advanced Level","4930.87 English as a Second Language - Integrated","32.0108 Developmental/Remedial English.","O - Local","Noncredit program",,2018-02-13,,,Active
"IRVINE VALLEY",36064,"Real Estate Broker","0511.00* Real Estate","52.1501 Real Estate.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2017-12-20,24.00-24.00/25.00-25.00,,Active
SADDLEBACK,36223,"Business Communication Skills","0501.00* Business and Commerce, General","52.0101 Business/Commerce, General.","C - CTE","Certificate of Achievement requiring 8S/12Q to fewer than 16S/24Q units",,,13.00-13.00/15.00-15.00,,Approved
SADDLEBACK,36224,"Business Information Worker I","0702.00* Computer Information Systems","11.0103 Information Technology.","C - CTE","Certificate of Achievement requiring 8S/12Q to fewer than 16S/24Q units",,2018-01-24,12.50-12.50/12.50-12.50,0.00-0.00/0.00-0.00,Active
"IRVINE VALLEY",36123,Sociology,"2208.00 Sociology","45.1101 Sociology, General.","T - Transfer","A.A- T Degree","ADT Degree",,0.00-0.00/0.00-0.00,18.00-18.00/19.00-19.00,Submitted
